"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SERPINE2",3.17153490737597,12.385556093278,14.8952325352437,2.16268477455524e-35,2.81992467754258e-31,69.5975377147128
"FGFR2",-2.16725550811916,5.70832219681322,-14.1256611655274,7.14033432768985e-33,4.6551409649374e-29,63.9044452550834
"CHP2",-3.92452895675333,5.64229992812335,-13.5302093586477,6.28208310324542e-31,1.9692243145957e-27,59.5080364494101
"HOXA9",-2.92971575724046,5.52812939955152,-13.5281061515854,6.38204203173377e-31,1.9692243145957e-27,59.4925326955363
"TACC2",-2.75993719234844,7.34707252644528,-13.5056912785537,7.5512858140797e-31,1.9692243145957e-27,59.3273151882702
"TUFT1",-2.54288014835987,8.25142807004042,-13.4644133191131,1.02928615218368e-30,2.23681035638716e-27,59.0231250701822
"ZBTB16",-2.40741265039974,7.27035854349408,-13.4290860668521,1.34161351325937e-30,2.49904265705556e-27,58.7628565455587
"PLLP",-2.32361638778868,7.36837930066915,-13.1615793350597,9.95591458724907e-30,1.62268962878926e-26,56.7943145786542
"MARCKSL1",2.01800655245418,11.5037952158518,13.1235112367727,1.32370051154262e-29,1.91774788555602e-26,56.5145344976055
"C1orf116",-4.0662414021381,4.5259954522055,-12.9611682219808,4.45495347309591e-29,5.80881383356976e-26,55.322519826485
"ARPC1B",2.08982511862455,12.1119029087052,12.9038051891472,6.83702561214518e-29,8.10436154152373e-26,54.9017875854517
"CHST11",2.51123452860305,7.87373515254927,12.8512173714896,1.01229001756018e-28,1.0999374615806e-25,54.516303190042
"TRIB2",2.61660732593903,10.257307259327,12.7755335133163,1.78000813995835e-28,1.78534816437823e-25,53.9619085705473
"MAOA",-2.8243491420165,6.5220799027164,-12.7236270685093,2.62064031665478e-28,2.44075207777583e-25,53.5819632370281
"FHL1",-2.75364703836424,8.1252411328878,-12.5087892392852,1.29582948273813e-27,1.12642137502816e-24,52.0119504054192
"MYH11",-4.03409747314914,6.27882259765745,-12.1193491491488,2.32041875239265e-26,1.89099625702799e-23,49.1778267327817
"PPP1R13L",-2.27313530128916,7.71517307987235,-12.0078108781228,5.28490211341638e-26,3.90904695893748e-23,48.3692938767603
"CYP4B1",-3.6186680828582,4.62231855438641,-12.0049805602341,5.39633754589114e-26,3.90904695893748e-23,48.3487970442138
"MRTFB",-1.32450650024204,8.46960196334001,-11.8935116221731,1.22643798022295e-25,8.41659201269842e-23,47.542364167331
"KLK1",-1.6805351372331,7.27461937411943,-11.8186529092191,2.12661444907327e-25,1.34548060370251e-22,47.0017061736991
"NFIB",-2.20040871671786,7.85129381900328,-11.8160945371962,2.16696776422676e-25,1.34548060370251e-22,46.9832419932751
"RNASE4",-2.0563243987264,7.38827267718862,-11.8051562797799,2.34828982297383e-25,1.39178868189799e-22,46.9043089185634
"SEMA3F",-1.76167074124735,8.16373888615211,-11.5968753933256,1.08112995691784e-24,6.12906674271813e-22,45.4045223709091
"GATA3",-3.36461463896238,7.34479800771844,-11.5417744722717,1.61749984529484e-24,8.78774186783309e-22,45.0088150499146
"PAMR1",-2.2471436881207,6.40289333454763,-11.5345487975569,1.70519314104244e-24,8.89360534642094e-22,44.9569580730452
"DLG5",-1.55844844724268,7.94479314497926,-11.4918225644774,2.32962257376559e-24,1.16830572074344e-21,44.6504863339046
"ETV5",2.53782895940153,9.9130369085813,11.4767428085159,2.60065949548741e-24,1.25592589487631e-21,44.5423882365901
"FGFR3",-4.37999064744554,6.56005546009907,-11.3720897298261,5.57655721252856e-24,2.59688319622e-21,43.7931854285224
"TIPARP",-1.31767462821385,8.88649895203075,-11.2005121333482,1.93998947792114e-23,8.72259406986681e-21,42.5687835076716
"ALDH3A2",-1.71826555294245,8.69048734943581,-11.1759958049824,2.3173118921102e-23,1.00718099204083e-20,42.3942432835908
"TGFBR3",-1.69688951017354,8.65167203554016,-11.1512995303424,2.77133902884951e-23,1.16566095474738e-20,42.2185289343651
"DUSP4",3.14650825755482,9.93455804275214,11.1459527378247,2.88075814485972e-23,1.17381892033831e-20,42.1805006623069
"SCGB1D2",-4.84780536642557,5.3654222471665,-11.1258361493035,3.33241589172404e-23,1.31670820642999e-20,42.0374700651955
"CCL27",-3.36579450865837,6.51118014614013,-11.107945045089,3.79304121712135e-23,1.45463130676604e-20,41.9103237892092
"ARNT2",2.89959200926789,8.43058958722566,11.0467771771975,5.90250304810665e-23,2.19893534983608e-20,41.4760622382449
"KCNK7",-2.58632787932022,5.36580214577725,-10.9955005976193,8.54670495522545e-23,3.09556905308846e-20,41.1125551817295
"NEBL",-1.69270601647507,7.03936730376096,-10.9076518538187,1.6096162079488e-22,5.6723745230931e-20,40.4909359796743
"BCL2A1",2.89900036484887,8.87191280285571,10.8563967016999,2.32716847364844e-22,7.98524992839526e-20,40.1289415239412
"DNMBP",-1.06769935297266,7.92648277891694,-10.8069576638188,3.31930945955186e-22,1.10975579597684e-19,39.7802644014421
"EPHB6",-2.89959883015276,7.281847273173,-10.7823995356075,3.95890950129528e-22,1.29050552468473e-19,39.6072458335337
"EMP2",-2.16858085484824,9.3785885650438,-10.7287268945873,5.81628143618244e-22,1.84971935722885e-19,39.2295338304888
"AP1S2",2.23862588177291,10.2384696831145,10.7201189327945,6.18608852440387e-22,1.92048591118338e-19,39.1690117111058
"SOX10",2.56570257638904,10.5314367975154,10.6766110242455,8.445469925451e-22,2.53502060184478e-19,38.8633450360524
"PLOD3",2.12884227326613,11.5812967275363,10.6748187654526,8.55440650979141e-22,2.53502060184478e-19,38.8507619139714
"LEF1",2.15993882099683,8.71134461663389,10.6540314245227,9.92489736150431e-22,2.87579414881455e-19,38.7048671035989
"E2F3",1.3356374409945,8.50907030717239,10.6197342089377,1.26799753674906e-21,3.59422171340674e-19,38.4643537395211
"EGFR",-1.8602968491122,6.61970057779099,-10.5924038599463,1.54106662172377e-21,4.27531227248006e-19,38.2728760747345
"HLF",-2.25527357332198,5.73481103397748,-10.5631466675811,1.89853697906291e-21,5.15729659791692e-19,38.0680772599699
"CXADR",-3.38154486755186,8.06151275863046,-10.5439187825387,2.17728989842253e-21,5.79381285419008e-19,37.9335843589783
"IRF6",-2.47588001487791,8.56631390257178,-10.5059671928768,2.85264529600334e-21,7.43912840291752e-19,37.6683631156046
"IPPK",-1.40154123913191,7.27475436745839,-10.4854418552501,3.30100969996299e-21,8.43958146623871e-19,37.5250563826506
"COBL",-3.02549818436412,6.29527063028816,-10.4689082995942,3.71267089106803e-21,9.30952225935308e-19,37.4096883436367
"SDC3",2.807869967247,9.61382666851792,10.4397548795508,4.56687913105214e-21,1.1235384337696e-18,37.2064107885423
"FBXW7",-1.94377096518907,7.59603985313097,-10.4167376351427,5.37730883026871e-21,1.29842092292359e-18,37.0460546288095
"RAPGEFL1",-3.85772588718452,5.25052236987251,-10.4104920847369,5.62090838200036e-21,1.33256407987096e-18,37.0025640251997
"DES",-2.10716325833349,6.11846295070402,-10.331422158831,9.84177021966159e-21,2.25134810340645e-18,36.4527405314211
"CLDN10",-1.54420100578589,6.8832839288676,-10.3193687087419,1.07177056213138e-20,2.40945109648812e-18,36.3690529111468
"KRT19",-3.73415398420482,4.32750531541487,-10.3154073078286,1.10221970101638e-20,2.4359055392462e-18,36.3415561830633
"KLF4",-3.11087437516539,8.2945547853726,-10.2663075556221,1.55930725229342e-20,3.38863454377564e-18,36.0010547444131
"DEGS1",-1.57123701446452,9.66240894112871,-10.262960813209,1.59658574504452e-20,3.41276746387468e-18,35.9778663163781
"CTSB",1.63059394681436,12.2800844028942,10.2484610839265,1.76861223977011e-20,3.71950564425202e-18,35.877433649045
"GAS2L1",-1.24515049289736,8.21717072681555,-10.2435074546115,1.83151329849646e-20,3.7906510950945e-18,35.8431337971184
"EPB41L4B",-1.70168183465865,6.95435875160469,-10.2341888339044,1.95593559224909e-20,3.98491315427124e-18,35.7786259352226
"PSORS1C2",-2.88829414123039,6.12354563082842,-10.1705152998997,3.0630509952232e-20,6.14448029641774e-18,35.3384115697975
"CNN1",-3.0954903841192,6.37932087759276,-10.137963032072,3.8510365221475e-20,7.60813109276988e-18,35.1137416711849
"KRT23",-4.10787271925481,6.43048249233919,-10.1193882897867,4.38792504883773e-20,8.53942607638734e-18,34.9856599041227
"NET1",-1.89941103457988,7.71289302743985,-10.1044278429391,4.87399000517768e-20,9.27703139353762e-18,34.8825630646584
"TNXB",-2.67759861931547,6.67797354376802,-10.1034014980961,4.90923511123626e-20,9.27703139353762e-18,34.8754922756572
"ZFP36L2",-1.26622892964984,9.83772798754329,-10.0941014100667,5.24038805970813e-20,9.76134570150489e-18,34.8114333158246
"SCNN1A",-2.08381224475487,6.46977032786465,-10.0858267068565,5.55366259874404e-20,1.01991840316935e-17,34.7544554964549
"F3",-3.15685754114515,6.02987307051091,-10.0501956869099,7.1297625418368e-20,1.29118019143069e-17,34.5093058332879
"ADH1B",-2.89700560967546,6.00072716634333,-10.0366616980704,7.83879496534084e-20,1.40013763771341e-17,34.4162734872603
"TMEM254",-1.50695504147357,6.71207880553206,-10.006930059148,9.65229197845617e-20,1.67865871784128e-17,34.2120637256526
"AACS",-1.84090008316729,8.66601143342204,-10.0068810382697,9.65560271785385e-20,1.67865871784128e-17,34.2117272169638
"NDEL1",-1.063406525252,9.13600564549253,-9.96663206001741,1.27930871375347e-19,2.19485609455677e-17,33.9356443191153
"IL37",-3.22026570620616,4.9967343500196,-9.95702486661027,1.3680941397118e-19,2.29587828590883e-17,33.86980734139
"CAT",-1.29171939753528,9.01667886436439,-9.95464544276072,1.39101453015413e-19,2.29587828590883e-17,33.8535051601311
"ELOVL4",-3.8695809427522,5.16142976996025,-9.94337644779014,1.50486173857153e-19,2.45273652615426e-17,33.7763179085159
"ARHGEF4",-1.70812257435849,6.42558878726707,-9.92292865197226,1.7356125568284e-19,2.7939076701834e-17,33.6363456032667
"MAST4",-2.0156149877354,7.64732392711503,-9.916534231307,1.81475469363811e-19,2.8856812744326e-17,33.59259623525
"ABHD5",-1.34005774254668,7.28269398812545,-9.90021226598259,2.03341928477283e-19,3.19442819929553e-17,33.4809737465066
